ticket_id,timestamp,category,issue_type,zone,priority,status,description
CIV-1044,2026-06-17 08:22:00,Infrastructure,Damaged Guardrail,Zone D (West/Downtown),Medium,Resolved,Highway guardrail is crushed from a previous accident and needs replacement. Located near 69 Main St.
CIV-1061,2026-06-17 12:54:00,Infrastructure,Water Main Leak,Zone D (West/Downtown),High,Resolved,"Water is bubbling up from the pavement, flooding the street and sidewalk. Located near 122 River Rd."
CIV-1104,2026-06-17 13:02:00,Public Services,Public Transit Delay,Zone C (South/Commercial),Low,Open,Consistent bus delays on Route 12 during peak morning hours. Located near 349 Industrial Blvd.
CIV-1082,2026-06-17 15:06:00,Infrastructure,Graffiti on Public Building,Zone A (North/Residential),Medium,Resolved,Vandalism and spray paint on the community center walls. Located near 235 River Rd.
CIV-1080,2026-06-17 16:38:00,Safety,Broken Traffic Signal,Zone C (South/Commercial),High,Resolved,The traffic signal at the main intersection is flashing red/not working. Located near 126 Maple Ln.
CIV-1182,2026-06-17 18:47:00,Environment,Illegal Dumping,Zone C (South/Commercial),Medium,In Progress,"Trash, furniture, and tires dumped on the side of the road. Located near 289 Elm St."
CIV-1192,2026-06-17 20:23:00,Public Services,Missed Trash Collection,Zone C (South/Commercial),Medium,Resolved,Scheduled trash pickup did not occur for the entire block. Located near 357 Pine Rd.
CIV-1156,2026-06-17 20:31:00,Public Services,Public Transit Delay,Zone D (West/Downtown),Medium,Resolved,Consistent bus delays on Route 12 during peak morning hours. Located near 331 Elm St.
CIV-1167,2026-06-18 03:32:00,Infrastructure,Water Main Leak,Zone A (North/Residential),High,In Progress,"Water is bubbling up from the pavement, flooding the street and sidewalk. Located near 88 Industrial Blvd."
CIV-1139,2026-06-18 04:35:00,Infrastructure,Pothole,Zone A (North/Residential),Medium,Open,Deep pothole causing drivers to swerve dangerously to avoid damage. Located near 191 Industrial Blvd.
CIV-1111,2026-06-18 05:10:00,Environment,Water Quality Concern,Zone B (East/Industrial),High,Open,Tap water appears cloudy and has an unusual chlorine odor. Located near 264 Broadway.
CIV-1116,2026-06-18 07:38:00,Environment,Excessive Noise,Zone C (South/Commercial),Low,Open,Loud music and industrial noise coming from the commercial zone past midnight. Located near 357 Maple Ln.
CIV-1160,2026-06-18 10:45:00,Environment,Illegal Dumping,Zone A (North/Residential),Medium,In Progress,"Trash, furniture, and tires dumped on the side of the road. Located near 372 Broadway."
CIV-1121,2026-06-18 12:00:00,Safety,Hazardous Tree Branch,Zone C (South/Commercial),High,Open,"Large tree branch hanging low over the road, blocking visibility. Located near 354 Elm St."
CIV-1142,2026-06-18 13:54:00,Infrastructure,Pothole,Zone A (North/Residential),Medium,In Progress,Deep pothole causing drivers to swerve dangerously to avoid damage. Located near 149 Pine Rd.
CIV-1027,2026-06-18 14:18:00,Infrastructure,Graffiti on Public Building,Zone D (West/Downtown),Medium,In Progress,Vandalism and spray paint on the community center walls. Located near 107 Pine Rd.
CIV-1129,2026-06-18 18:13:00,Environment,Excessive Noise,Zone A (North/Residential),High,Open,Loud music and industrial noise coming from the commercial zone past midnight. Located near 178 Broadway.
CIV-1136,2026-06-18 22:07:00,Environment,Excessive Noise,Zone B (East/Industrial),Medium,In Progress,Loud music and industrial noise coming from the commercial zone past midnight. Located near 183 Industrial Blvd.
CIV-1191,2026-06-18 23:43:00,Public Services,Overfilled Public Bin,Zone B (East/Industrial),High,In Progress,"Public trash can is overflowing, causing litter to blow into the park. Located near 27 River Rd."
CIV-1096,2026-06-19 00:42:00,Infrastructure,Water Main Leak,Zone D (West/Downtown),High,Open,"Water is bubbling up from the pavement, flooding the street and sidewalk. Located near 328 Elm St."
CIV-1099,2026-06-19 03:29:00,Environment,Water Quality Concern,Zone A (North/Residential),High,Open,Tap water appears cloudy and has an unusual chlorine odor. Located near 270 Maple Ln.
CIV-1173,2026-06-19 13:05:00,Safety,Sidewalk Obstruction,Zone B (East/Industrial),High,In Progress,"Construction materials are blocking the sidewalk, forcing pedestrians into the street. Located near 222 Main St."
CIV-1095,2026-06-19 17:02:00,Safety,Sidewalk Obstruction,Zone D (West/Downtown),Medium,Open,"Construction materials are blocking the sidewalk, forcing pedestrians into the street. Located near 69 Elm St."
CIV-1185,2026-06-19 17:30:00,Safety,Broken Traffic Signal,Zone C (South/Commercial),High,Open,The traffic signal at the main intersection is flashing red/not working. Located near 192 Maple Ln.
CIV-1183,2026-06-19 21:29:00,Infrastructure,Water Main Leak,Zone D (West/Downtown),High,Open,"Water is bubbling up from the pavement, flooding the street and sidewalk. Located near 376 Oak Ave."
CIV-1175,2026-06-19 22:41:00,Environment,Excessive Noise,Zone C (South/Commercial),Medium,Open,Loud music and industrial noise coming from the commercial zone past midnight. Located near 156 Main St.
CIV-1168,2026-06-19 22:49:00,Safety,Street Light Out,Zone B (East/Industrial),Medium,In Progress,"Street light is broken, making the sidewalk extremely dark and unsafe at night. Located near 196 Industrial Blvd."
CIV-1165,2026-06-19 23:43:00,Public Services,Park Maintenance Request,Zone A (North/Residential),Medium,In Progress,Playground equipment is broken (swings detached) and grass is overgrown. Located near 195 Main St.
CIV-1042,2026-06-20 01:54:00,Safety,Hazardous Tree Branch,Zone D (West/Downtown),High,Open,"Large tree branch hanging low over the road, blocking visibility. Located near 166 Elm St."
CIV-1043,2026-06-20 07:14:00,Environment,Water Quality Concern,Zone A (North/Residential),High,Open,Tap water appears cloudy and has an unusual chlorine odor. Located near 152 Elm St.
CIV-1127,2026-06-20 11:06:00,Infrastructure,Pothole,Zone C (South/Commercial),High,In Progress,Deep pothole causing drivers to swerve dangerously to avoid damage. Located near 151 Industrial Blvd.
CIV-1005,2026-06-20 11:38:00,Safety,Hazardous Tree Branch,Zone C (South/Commercial),High,In Progress,"Large tree branch hanging low over the road, blocking visibility. Located near 203 Oak Ave."
CIV-1190,2026-06-20 11:39:00,Safety,Street Light Out,Zone D (West/Downtown),Medium,In Progress,"Street light is broken, making the sidewalk extremely dark and unsafe at night. Located near 353 Oak Ave."
CIV-1128,2026-06-20 14:05:00,Infrastructure,Pothole,Zone B (East/Industrial),Medium,Open,Deep pothole causing drivers to swerve dangerously to avoid damage. Located near 412 Main St.
CIV-1172,2026-06-20 16:54:00,Infrastructure,Pothole,Zone A (North/Residential),Medium,Open,Deep pothole causing drivers to swerve dangerously to avoid damage. Located near 149 Pine Rd.
CIV-1101,2026-06-21 04:55:00,Infrastructure,Graffiti on Public Building,Zone A (North/Residential),Low,In Progress,Vandalism and spray paint on the community center walls. Located near 413 Elm St.
CIV-1170,2026-06-21 06:23:00,Infrastructure,Damaged Guardrail,Zone D (West/Downtown),Low,In Progress,Highway guardrail is crushed from a previous accident and needs replacement. Located near 267 Industrial Blvd.
CIV-1119,2026-06-21 11:33:00,Environment,Air Quality Alert,Zone C (South/Commercial),Medium,Open,Strong chemical odor detected in the air near the industrial park. Located near 422 River Rd.
CIV-1002,2026-06-21 17:05:00,Safety,Street Light Out,Zone D (West/Downtown),Medium,In Progress,"Street light is broken, making the sidewalk extremely dark and unsafe at night. Located near 129 Broadway."
CIV-1046,2026-06-21 18:12:00,Safety,Hazardous Tree Branch,Zone C (South/Commercial),High,Open,"Large tree branch hanging low over the road, blocking visibility. Located near 276 Main St."
CIV-1030,2026-06-21 18:15:00,Safety,Hazardous Tree Branch,Zone A (North/Residential),High,In Progress,"Large tree branch hanging low over the road, blocking visibility. Located near 143 Elm St."
CIV-1196,2026-06-21 22:28:00,Infrastructure,Damaged Guardrail,Zone A (North/Residential),Low,In Progress,Highway guardrail is crushed from a previous accident and needs replacement. Located near 291 Oak Ave.
CIV-1032,2026-06-22 02:00:00,Infrastructure,Pothole,Zone D (West/Downtown),High,In Progress,Deep pothole causing drivers to swerve dangerously to avoid damage. Located near 285 Oak Ave.
CIV-1025,2026-06-22 02:28:00,Safety,Street Light Out,Zone A (North/Residential),Medium,In Progress,"Street light is broken, making the sidewalk extremely dark and unsafe at night. Located near 395 Oak Ave."
CIV-1033,2026-06-22 11:56:00,Environment,Air Quality Alert,Zone A (North/Residential),Medium,Open,Strong chemical odor detected in the air near the industrial park. Located near 90 Maple Ln.
CIV-1063,2026-06-22 12:37:00,Safety,Hazardous Tree Branch,Zone A (North/Residential),High,In Progress,"Large tree branch hanging low over the road, blocking visibility. Located near 246 Pine Rd."
